acid_type,experiment,initial_mean_std,final_mean_std,relative_drop_pct
diprotic,8,0.20000000000000004,0.2119575015240429,-5.98
monoprotic,2,0.20000000000000004,0.22221337683713369,-11.11
triprotic,1,0.20000000000000004,0.20626379118338867,-3.13
