acid_type,stage,experiments,mean_matched_pka_mae,median_matched_pka_mae,mean_effective_pka_mae,mean_posterior_std,median_posterior_std,mean_abs_pH_error,all_true_pkas_within_0p5_pct,all_true_pkas_within_1p0_pct,matched_within_0p5_frac_pct,matched_within_1p0_frac_pct,mean_unused_slot_mole_fraction_if_true_count_lt3,unused_slot_fraction_lt_0p1_pct_if_true_count_lt3
diprotic,final,65,0.7336,0.7019,0.7361,0.1916,0.2035,0.0574,16.92,47.69,44.62,70.77,0.3469,7.69
diprotic,initial,65,0.7365,0.6836,0.7365,0.2,0.2,4.6918,16.92,47.69,45.38,71.54,0.3406,9.23
diprotic,up_to_8_steps,65,0.7343,0.7019,0.7362,0.1905,0.2014,0.7195,16.92,47.69,45.38,71.54,0.347,7.69
monoprotic,final,58,0.5009,0.3717,0.4972,0.1916,0.2014,0.0705,60.34,89.66,60.34,89.66,0.6429,0.0
monoprotic,initial,58,0.4999,0.3525,0.4999,0.2,0.2,3.9795,58.62,86.21,58.62,86.21,0.6279,0.0
monoprotic,up_to_8_steps,58,0.5047,0.3694,0.498,0.1869,0.2003,1.0455,60.34,87.93,60.34,87.93,0.6433,0.0
triprotic,final,77,1.3155,1.286,1.2936,0.1919,0.206,0.0569,0.0,6.49,22.08,45.45,,
triprotic,initial,77,1.2915,1.2952,1.2915,0.2,0.2,4.5116,0.0,9.09,22.94,47.19,,
triprotic,up_to_8_steps,77,1.3122,1.286,1.293,0.1905,0.203,0.3027,0.0,6.49,22.51,45.02,,
overall,final,200,0.8901,0.8457,0.8815,0.1917,0.2034,0.061,23.0,44.0,40.5,66.5,0.4865,4.07
overall,initial,200,0.8816,0.8348,0.8816,0.2,0.2,4.4159,22.5,44.0,40.58,66.42,0.4761,4.88
overall,up_to_8_steps,200,0.8902,0.8457,0.8815,0.1895,0.2012,0.6536,23.0,43.5,40.92,66.08,0.4867,4.07
